Waktu_hari,Padi_tanpa_kg_ha,Wereng_tanpa_ind_ha,Padi_kontrol_kg_ha,Wereng_kontrol_ind_ha
0.0,800.0,100.0,800.0,100.0
0.1,625.5217025403477,172.16792495129448,625.5217025403477,172.16792495129448
0.2,424.06616935158354,254.21753253852205,424.06616935158354,254.21753253852205
0.30000000000000004,250.44690932505557,321.98554903345985,250.44690932505557,321.98554903345985
0.4,134.25777547434996,362.9490503978069,134.25777547434996,362.9490503978069
0.5,68.49712107173941,380.85567759121693,68.49712107173941,380.85567759121693
0.6000000000000001,34.39686007209712,384.4861421733999,34.39686007209712,384.4861421733999
0.7000000000000001,17.32675710623923,380.5968566031161,17.32675710623923,380.5968566031161
0.8,8.839210128630858,373.0767791397017,8.839210128630858,373.0767791397017
0.9,4.587209072782318,363.92491916590404,4.587209072782318,363.92491916590404
1.0,2.426359965344852,354.1252677860689,2.426359965344852,354.1252677860689
1.1,1.3089469454351688,344.1555138460843,1.3089469454351688,344.1555138460843
1.2000000000000002,0.7202308799205172,334.2466612445226,0.7202308799205172,334.2466612445226
1.3,0.4041080089329377,324.50970409649364,0.4041080089329377,324.50970409649364
1.4000000000000001,0.23111577847576678,314.99677014210374,0.23111577847576678,314.99677014210374
1.5,0.13466943960931982,305.730762505169,0.13466943960931982,305.730762505169
1.6,0.07991053435449832,296.7198944140217,0.07991053435449832,296.7198944140217
1.7000000000000002,0.04826348513400005,287.9649209533768,0.04826348513400005,287.9649209533768
1.8,0.029654974106607983,279.46279466872517,0.029654974106607983,279.46279466872517
1.9000000000000001,0.018527976848124364,271.20854326840544,0.018527976848124364,271.20854326840544
2.0,0.011765257308928911,263.1962490980465,0.011765257308928911,263.1962490980465
2.1,0.0075895135025693975,255.41956733728674,0.0075895135025693975,255.41956733728674
2.2,0.004971261916316135,247.87200343743496,0.004971261916316135,247.87200343743496
2.3000000000000003,0.0033049571767333197,240.54706288866285,0.0033049571767333197,240.54706288866285
2.4000000000000004,0.0022290663658055656,233.43833224098265,0.0022290663658055656,233.43833224098265
2.5,0.0015245960582747123,226.53952256439953,0.0015245960582747123,226.53952256439953
2.6,0.0010570194764110954,219.8444921066984,0.0010570194764110954,219.8444921066984
2.7,0.0007425648490859082,213.34725728922973,0.0007425648490859082,213.34725728922973
2.8000000000000003,0.0005283731108146458,207.04199709824871,0.0005283731108146458,207.04199709824871
2.9000000000000004,0.00038066109520828984,200.9230537093641,0.00038066109520828984,200.9230537093641
3.0,0.0002775677379953836,194.9849309584274,0.0002775677379953836,194.9849309584274
3.1,0.00020477551253983813,189.22229158778515,0.00020477551253983813,189.22229158778515
3.2,0.00015279737876908934,183.62995380907532,0.00015279737876908934,183.62995380907532
3.3000000000000003,0.0001152755738253332,178.2028875012297,0.0001152755738253332,178.2028875012297
3.4000000000000004,8.790247134985083e-05,172.93621023304038,8.790247134985083e-05,172.93621023304038
3.5,6.772831981552028e-05,167.82518322360366,6.772831981552028e-05,167.82518322360366
3.6,5.271230069998602e-05,162.86520730871064,5.271230069998602e-05,162.86520730871064
3.7,4.1428291426221856e-05,158.05181895403925,4.1428291426221856e-05,158.05181895403925
3.8000000000000003,3.287003516150815e-05,153.3806863394608,3.287003516150815e-05,153.3806863394608
3.9000000000000004,2.6320843663022823e-05,148.8476055286244,2.6320843663022823e-05,148.8476055286244
4.0,2.126561292936958e-05,144.44849673170117,2.126561292936958e-05,144.44849673170117
4.1000000000000005,1.7330851868334172e-05,140.17940066525398,1.7330851868334172e-05,140.17940066525398
4.2,1.4243431774971888e-05,136.0364750107459,1.4243431774971888e-05,136.0364750107459
4.3,1.180196129715338e-05,132.01599097165737,1.180196129715338e-05,132.01599097165737
4.4,9.856751852974297e-06,128.1143299282169,9.856751852974297e-06,128.1143299282169
4.5,8.2956785026446e-06,124.327980188146,8.2956785026446e-06,124.327980188146
4.6000000000000005,7.034120672984518e-06,120.6535338314504,7.034120672984518e-06,120.6535338314504
4.7,6.007749264829566e-06,117.08768364707234,6.007749264829566e-06,117.08768364707234
4.800000000000001,5.167315293650109e-06,113.62722015909604,5.167315293650109e-06,113.62722015909604
4.9,4.474856787307752e-06,110.26902874014374,4.474856787307752e-06,110.26902874014374
5.0,3.900918136963141e-06,107.01008680958188,3.900918136963141e-06,107.01008680958188
5.1000000000000005,3.4224974468332696e-06,103.84746111417117,3.4224974468332696e-06,103.84746111417117
5.2,3.0215210326080797e-06,100.77830508882192,3.0215210326080797e-06,100.77830508882192
5.300000000000001,2.683702242357583e-06,97.79985629515774,2.683702242357583e-06,97.79985629515774
5.4,2.3976823332706187e-06,94.90943393563899,2.3976823332706187e-06,94.90943393563899
5.5,2.1543796870580503e-06,92.1044364410491,2.1543796870580503e-06,92.1044364410491
5.6000000000000005,1.9464938790745455e-06,89.3823391292027,1.9464938790745455e-06,89.3823391292027
5.7,1.7681255489730318e-06,86.7406919327901,1.7681255489730318e-06,86.7406919327901
5.800000000000001,1.6144833826066831e-06,84.17711719432897,1.6144833826066831e-06,84.17711719432897
5.9,1.481657000716326e-06,81.6893075262514,1.481657000716326e-06,81.6893075262514
6.0,1.3664399909308373e-06,79.27502373420843,1.3664399909308373e-06,79.27502373420843
6.1000000000000005,1.266191297791889e-06,76.93209280173049,1.266191297791889e-06,76.93209280173049
6.2,1.1787261109649997e-06,74.65840593443448,1.1787261109649997e-06,74.65840593443448
6.300000000000001,1.102229555196121e-06,72.45191666202115,1.102229555196121e-06,72.45191666202115
6.4,1.0351880941870228e-06,70.31063899635772,1.0351880941870228e-06,70.31063899635772
